City Name,Latitude,Temperature (F),Humidity %,Cloudiness %,Windspeed (mph)
san patricio,-26.98,87.84,56,97,8.59
punta arenas,-53.16,48.09,49,40,31.09
constitucion,23.99,62.73,77,40,3.36
rocha,-34.48,73.02,52,0,4.18
praya,-8.71,78.8,83,75,5.82
chudniv,50.05,51.64,76,100,16.82
ahipara,-35.17,53.01,77,95,8.28
busselton,-33.64,47.98,65,13,6.35
ushuaia,-54.81,47.39,49,75,18.34
port blair,11.67,82.87,76,100,14.2
smithers,54.78,35.6,100,90,2.24
castro,-42.48,51.8,100,90,16.11
olean,42.08,36.34,77,90,12.75
avarua,-21.21,69.8,56,100,10.29
selu,34.67,32.88,82,50,1.34
high level,58.52,23,92,90,3.36
albany,42.65,47.16,46,40,13.87
geraldton,49.72,26.6,73,90,6.93
jaora,23.64,72.48,78,0,2.44
hermanus,-34.42,63.52,67,13,4
cape town,-33.93,63.21,59,45,25.28
griffith,-34.29,59,100,40,5.82
airai,-8.93,66.42,58,2,3.33
nome,30.04,60.66,45,1,6.93
erdenet,49.03,27.79,80,79,7.61
pevek,69.7,11.86,82,82,12.08
omsukchan,62.53,16.36,96,100,3.04
orangeburg,33.49,57.31,40,1,6.93
khatanga,71.98,-15.15,97,95,10.8
kodiak,39.95,50.97,40,1,12.75
rikitea,-23.12,73.02,84,56,13.33
mahebourg,-20.41,73.74,78,75,14.99
arraial do cabo,-22.97,86,62,13,13.87
barrow,-38.31,75.92,37,0,11.23
linqiong,30.42,65.5,82,40,2.62
coquimbo,-29.95,67.12,82,90,9.17
kapaa,22.08,72.57,94,1,9.17
calbuco,-41.77,53.6,81,90,14.99
tasiilaq,65.61,30.2,86,100,4.7
spring hill,28.46,74.89,61,1,8.05
nouakchott,18.08,98.6,11,0,12.75
east london,-33.02,66.2,72,75,14.99
cap-aux-meules,47.38,44.6,87,90,8.05
mayumba,-3.44,79.54,88,53,11.52
bethel,60.79,18.07,78,1,18.34
thayetmyo,19.32,74.71,86,0,1.32
la libertad,-16.38,66.2,29,20,9.17
vardo,39.62,48.94,45,40,16.11
santa isabel,32.63,60.17,11,1,5.82
thompson,55.74,19.4,92,90,3.36
san quintin,17.54,74.55,91,54,2.75
noumea,-22.28,69.57,72,5,18.75
mataura,-46.19,44.85,79,8,2.55
guasdualito,7.24,87.8,66,40,3.36
acapulco,16.86,84.2,66,75,2.24
talnakh,69.49,-13.01,75,100,8.95
nikolskoye,59.7,37.78,93,90,4.47
hilo,19.71,65.12,82,1,3.74
georgetown,6.8,86,70,75,9.17
saint-pierre,48.95,51.55,93,96,16.11
srednekolymsk,67.46,4.59,93,71,3.74
monte carmelo,-18.73,82.08,58,50,3.96
pustomyty,49.72,57.67,76,68,11.18
trojes,41.76,69.8,64,90,11.41
kaitangata,-46.28,53.8,80,7,9.51
edd,13.93,84.42,57,76,5.64
poros,40.9,62.6,72,20,3.36
puerto ayora,-0.74,70.5,73,75,11.41
butaritari,3.07,84.15,73,14,12.73
okato,-39.19,52,97,83,4
maldonado,-34.91,64.4,72,20,8.05
sinnamary,5.38,82.8,78,97,15.95
mon,26.73,58.03,88,0,4.16
victoria,5.28,80.38,88,75,7.65
isangel,-19.55,72.61,82,99,16.06
athabasca,54.72,30.42,75,92,6.42
chokurdakh,70.62,4.78,92,98,4.05
vila velha,-3.71,83.34,58,20,17.22
skibbereen,51.55,48.2,81,75,5.82
evanston,42.04,41.41,69,90,6.93
lebu,8.96,52.11,61,23,6.51
cherskiy,68.75,13.8,84,71,12.1
henties bay,-22.12,81.48,20,63,15.43
clyde river,70.47,19.4,73,40,6.93
awjilah,29.14,70.27,45,0,8.37
atuona,-9.8,80.46,76,58,15.32
krasnovishersk,60.4,23.18,89,100,9.1
lasa,34.92,67.01,68,40,3.36
carandai,-20.95,78.8,54,40,6.93
fare,-16.7,81.21,80,82,10.13
qaanaaq,77.48,20.66,78,100,11.81
mabay,20.35,87.8,55,40,11.41
pangnirtung,66.15,17.29,75,41,2.77
vaini,15.34,68.65,94,22,1.77
northam,-31.65,51.8,87,9,4.63
oktyabrskoye,56.73,24.15,67,100,8.95
lagoa,37.14,67.73,88,40,12.75
longyearbyen,78.22,15.8,61,20,17.22
moss point,30.41,58.42,41,1,8.05
klaksvik,62.23,41,70,99,17.22
abu dhabi,24.47,84.2,66,0,4.7
tuscaloosa,33.21,56.98,44,1,6.93
new norfolk,-42.78,48.38,61,43,10.29
kruisfontein,-34,58.66,79,29,11.7
upernavik,72.79,24.24,93,100,11.12
hobart,-42.88,48.38,61,49,10.29
carnarvon,-30.97,72.1,7,72,7.07
manga,31.31,71.6,73,20,3.36
taltal,-25.41,61.48,66,21,8.28
saint-philippe,45.36,43.57,75,75,14.99
adil-yangiyurt,43.56,36.36,97,32,5.84
jamestown,-33.21,45.5,88,33,6.33
burnie,-41.05,43.97,90,27,11.21
vigrestad,58.57,43.32,65,75,14.99
komsomolskiy,67.55,1.78,77,0,5.12
forrest city,35.01,54.36,62,0,4.7
caravelas,-17.73,81.63,67,56,14.27
stephenville,48.55,40.66,86,90,13.87
ormara,25.21,83.37,75,0,3.44
ponta do sol,-20.63,84.13,46,33,3.94
bambous virieux,-20.34,73.72,78,75,14.99
dikson,73.51,-1.32,95,93,9.75
roald,62.58,29.73,48,0,23.04
ribeira grande,38.52,66.2,72,75,5.82
krasnyy oktyabr,56.12,37.49,90,100,13.29
ambilobe,-13.19,78.91,65,49,12.53
tual,-5.67,80.06,81,100,11.12
bluff,-23.58,66.9,91,39,6.62
ciudad bolivar,8.12,92.97,42,11,6.55
iskateley,67.68,12.72,89,48,20.58
aklavik,68.22,18.64,92,90,4.7
amazar,53.86,15.44,85,35,0.96
xining,36.62,34.79,47,0,1.45
juan lacaze,-34.43,72.39,64,20,6.93
mnogovershinnyy,53.94,28.99,98,100,10.38
lethem,3.38,96.8,35,3,4.38
wanning,48.64,48.27,93,75,3.36
petropavlovsk-kamchatskiy,53.05,33.8,100,75,6.71
algiers,29.94,59.45,47,1,9.35
atbasar,51.81,27.82,88,100,15.39
souillac,45.6,54.18,87,98,21.92
harper,30.3,59.04,38,1,13.87
nanortalik,60.14,33.96,78,2,4.81
namibe,-15.19,80.6,74,75,11.41
baykit,61.68,4.33,92,100,5.3
kungurtug,50.6,17.89,73,0,1.07
bilibino,68.06,7.97,88,100,3.2
salalah,17.01,82.4,78,75,5.82
luderitz,-26.65,59.16,78,0,18.84
iqaluit,63.75,26.29,79,75,8.05
kasongo,-4.43,74.53,81,2,2.13
makakilo city,21.35,72.54,94,1,3.36
fortuna,40.6,46.92,70,1,6.93
rio grande,-32.03,75.36,47,100,5.82
puerto colombia,10.99,89.6,62,20,6.93
poum,41.28,60.8,72,90,18.34
mahibadhoo,3.78,83.32,66,39,4.54
tiksi,71.64,6.75,94,100,8.41
mar del plata,-46.43,67.8,22,100,42.52
lompoc,34.64,53.94,34,1,4.7
kipini,-2.53,82.4,78,20,9.73
chuy,-33.69,72.19,57,68,3.29
kuryk,43.18,43.39,61,0,9.64
